-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG          |Name         |Ion         |Line      |Lam_lab |Wght|Abund       |Abund_Em    |Abund_Ep    
-------------|-------------|------------|----------|--------|----|------------|------------|------------
PNG011.9+04.2|M 1-32       |Ar^2+       |[Ar III]  |7135.80 |1   |3.34342e-06 |-1.16165e-07|1.36047e-07 
PNG011.9+04.2|M 1-32       |Ar^3+       |[Ar IV]   |4711.37 |1   |1.20854e-07 |-1.27546e-08|1.32166e-08 
PNG011.9+04.2|M 1-32       |Fe^2+       |[Fe III]  |4701.62 |1   |7.71107e-06 |-1.07467e-06|1.07211e-06 
PNG011.9+04.2|M 1-32       |Fe^2+       |[Fe III]  |4881.11 |3   |8.31636e-06 |-3.16477e-07|3.10549e-07 
PNG011.9+04.2|M 1-32       |Fe^2+       |[Fe III]  |5270.40 |5   |7.93108e-06 |-1.34771e-07|1.43938e-07 
PNG006.8+04.1|M 3-15       |N^+         |[N II]    |6548.10 |1   |2.31572e-05 |-3.89466e-07|4.15571e-07 
PNG006.8+04.1|M 3-15       |N^+         |[N II]    |6583.50 |3   |2.41232e-05 |-3.26919e-07|3.55404e-07 
PNG006.8+04.1|M 3-15       |O^0         |[O I]     |6300.34 |3   |1.28913e-05 |-3.38827e-07|3.71028e-07 
PNG006.8+04.1|M 3-15       |O^0         |[O I]     |6363.78 |1   |1.09075e-05 |-9.06998e-07|8.51479e-07 
PNG006.8+04.1|M 3-15       |O^+         |[O II]    |3726.03 |2   |7.39047e-05 |-6.87875e-07|6.34451e-07 
PNG006.8+04.1|M 3-15       |O^+         |[O II]    |3728.82 |1   |6.56556e-05 |-6.50420e-07|6.17910e-07 
PNG006.8+04.1|M 3-15       |O^2+        |[O III]   |4958.91 |1   |5.86452e-04 |-2.91419e-06|2.84095e-06 
PNG006.8+04.1|M 3-15       |O^2+        |[O III]   |5006.84 |3   |6.01034e-04 |-2.22241e-06|2.05873e-06 
PNG006.8+04.1|M 3-15       |Ne^2+       |[Ne III]  |3868.75 |1   |7.63997e-05 |-6.60246e-07|6.93400e-07 
PNG006.8+04.1|M 3-15       |S^+         |[S II]    |6716.44 |1   |6.58648e-07 |-1.20263e-08|1.38453e-08 
PNG006.8+04.1|M 3-15       |S^+         |[S II]    |6730.82 |2   |6.58581e-07 |-1.39514e-08|1.41578e-08 
PNG006.8+04.1|M 3-15       |S^2+        |[S III]   |6312.10 |1   |5.78978e-06 |-3.13275e-07|3.23687e-07 
PNG006.8+04.1|M 3-15       |Ar^3+       |[Ar IV]   |4711.37 |1   |3.42551e-07 |-8.38555e-08|8.89355e-08 
PNG006.8+04.1|M 3-15       |Ar^3+       |[Ar IV]   |4740.17 |1   |3.31247e-07 |-5.98525e-08|5.85739e-08 
PNG006.8+04.1|M 3-15       |Fe^2+       |[Fe III]  |4769.40 |1   |4.60947e-07 |-4.60947e-07|5.81743e-07 
PNG004.9+04.9|M 1-25       |N^0         |[N I]     |5199.84 |1   |8.03564e-07 |-1.30151e-07|1.32625e-07 
PNG004.9+04.9|M 1-25       |N^+         |[N II]    |6548.10 |1   |9.03084e-05 |-6.42594e-07|4.15153e-07 
PNG004.9+04.9|M 1-25       |N^+         |[N II]    |6583.50 |3   |9.54080e-05 |-7.07495e-07|4.90169e-07 
PNG004.9+04.9|M 1-25       |O^0         |[O I]     |6300.34 |3   |1.01064e-05 |-3.34499e-07|3.06596e-07 
PNG004.9+04.9|M 1-25       |O^0         |[O I]     |6363.78 |1   |7.70291e-06 |-4.29983e-07|4.05541e-07 
PNG004.9+04.9|M 1-25       |O^+         |[O II]    |3726.03 |1   |2.61629e-04 |-1.00141e-06|9.51976e-07 
PNG004.9+04.9|M 1-25       |O^2+        |[O III]   |4958.91 |1   |3.73619e-04 |-1.39117e-06|9.52231e-07 
PNG004.9+04.9|M 1-25       |O^2+        |[O III]   |5006.84 |3   |3.78309e-04 |-1.33376e-06|8.82528e-07 
